,query,speciesCode,comName,sciName,order,family,genus,species,description
0,White-winged dove,whwdov,White-winged Dove,Zenaida Asiatica,Columbiformes,Columbidae,Zenaida,asiatica,"Bulky, grayish-brown dove with conspicuous white patch on wings. When perched, the white patch looks like a line along the bottom edge of the wing, but it is more obvious in flight, contrasting with the dark outer wings. Also look for bold white tips on tail feathers. Heftier and shorter-tailed than Mourning Dove. Also compare with Eurasian Collared-Dove; White-winged is darker and more contrasty on the wings and tail. Found in deserts, fields, cities and suburbs, and open wooded habitats from the southern U.S. to Panama (including the Caribbean). Usually common, sometimes traveling in large flocks, especially in winter. Visits backyard feeders."
1,Mourning dove,moudov,Mourning Dove,Zenaida Macroura,Columbiformes,Columbidae,Zenaida,macroura,"Svelte with a long, pointed tail. Plain brown overall with dark spots on wing. Juvenile is covered with pale scaly pattern, but is much larger and longer-tailed than ground doves. Widespread and common throughout much of North America, from southern Canada to Panama, including the Caribbean. Found in a variety of habitats from agricultural fields to lightly wooded areas. Loves suburbs, where it often sits on telephone wires and visits bird feeders. Avoids dense forest, but found on forest edges. Usually seen in pairs or small flocks, sometimes gathering in larger numbers, especially in winter. Listen for distinctive cooing song and whistling wings as it takes off."
2,Canada goose,cangoo,Canada Goose,Branta Canadensis,Anseriformes,Anatidae,Branta,canadensis,"A large brown goose with a black neck and white chinstrap. Overall size, bill size, and brown coloration variable across subspecies. Occurs in any open or wetland habitat, from city parks and golf courses to pristine marshes and Arctic tundra. Typically in flocks or family groups. Often seen in mixed flocks with Cackling Goose, especially in central and western North America. Canada Goose is almost always larger, longer-necked, and longer-billed than Cackling, although beware there is some overlap between the smallest Canada and largest Cackling. Abundant and widespread throughout the U.S. and Canada; rare in Mexico. Introduced and widely established in Europe. Listen for loud honking calls, especially as flocks migrate overhead in the classic V formation."
3,Blue-winged teal,buwtea,Blue-winged Teal,Spatula Discors,Anseriformes,Anatidae,Spatula,discors,"Small duck with chalky-blue patches on the upperwing (visible in flight). Breeding males unmistakable with bold white crescent in front of eye and polka-dotted sides. Females are cold brown overall and intricately patterned. Look for a hint of a pale crescent on the face, as well as a dark eyeline and pale eye-arcs. Usually found in shallow wetlands or marshes, where it can occur in pairs or flocks, sometimes mixed with other species of ducks. Compare with other teal species: female Cinnamon Teal is warmer-toned overall and has a duller face pattern, while female Green-winged Teal is more compact, darker, and has a different wing pattern in flight."
4,Cinnamon teal,cintea,Cinnamon Teal,Spatula Cyanoptera,Anseriformes,Anatidae,Spatula,cyanoptera,"Small duck with chalky-blue patches on the upperwing (visible in flight). Breeding males unmistakable with rich reddish-brown color overall. Females are buffy-brownish overall and intricately patterned. Look for rather plain face and longer, more spatulate-shaped bill than Blue-winged Teal. Widespread and fairly common throughout western North America and South America, as far south as Tierra del Fuego. Usually found in shallow wetlands or marshes, where it can occur in pairs or flocks, sometimes mixed with other species of ducks."
5,Northern shoveler,norsho,Northern Shoveler,Spatula Clypeata,Anseriformes,Anatidae,Spatula,clypeata,"Medium-sized duck; smaller than a Mallard. Huge, spoon-shaped bill visible at a distance and in flight. Breeding males have dark green head, white breast, and chestnut sides and belly. Females buffy-brown with large, distinctive bill. Chalky-blue upperwing. Forages by sifting through the water, often swimming in spirals in groups."
6,Mallard,mallar3,Mallard,Anas Platyrhynchos,Anseriformes,Anatidae,Anas,platyrhynchos,"A large duck, generally common and familiar within its extensive range. Males are distinctive with iridescent green head, yellow bill, chestnut breast, and gray body. Females are mottled brown with orange and black splotches on the bill. Found anywhere with water, including city parks, backyard creeks, and various wetland habitats. Often in flocks, and frequently mixes with other duck species. In North America, females can be tricky to distinguish from American Black Duck, Mottled Duck, and Mexican Duck where ranges overlap. Those species are all darker-bodied than Mallard. A good view of the wing can be helpful, too: white wingbars on the leading and trailing edges of the blue wing patch are bolder on Mallard. Frequently hybridizes with those species, which can be even more confusing. Any bird with extensive white in the tail or curled feathers above the tail has some Mallard genes."
7,Northern cardinal,norcar,Northern Cardinal,Cardinalis Cardinalis,Passeriformes,Cardinalidae,Cardinalis,cardinalis,"Striking and familiar backyard bird throughout most of eastern North America; also occurs in the southwestern U.S. and fairly extensively in Mexico. Crest, large red bill, and long tail render this species distinctive even with a poor view. Male is entirely red with a black face. Female is brownish overall with redder wings and tail. Usually seen in pairs or small groups near dense cover, especially thickets near forest edges. Frequently visits bird feeders. Listen for high-pitched metallic chips and series of loud, sweet whistles."
8,Pyrrhuloxia,pyrrhu,Pyrrhuloxia,Cardinalis Sinuatus,Passeriformes,Cardinalidae,Cardinalis,sinuatus,"Essentially a desert-dwelling cardinal, found in brushy areas of the southwestern U.S. and northern Mexico. Shaped much like a Northern Cardinal but with a longer, thinner crest and more rounded bill shape. Plumage is mostly gray with red highlights on the face, crest, belly, wings, and tail. Bill color is usually yellowish, but grayer on immatures. Usually seen in pairs or small flocks, often visiting bird feeders. Song is similar to Northern Cardinal but higher-pitched and more piercing."
9,Phainopepla,phaino,Phainopepla,Phainopepla Nitens,Passeriformes,Ptiliogonatidae,Phainopepla,nitens,"Unique bird of scrubby oak and mesquite habitats with a sleek body, shaggy crest, long tail, and staring red eyes. Males are shiny black with a bluish sheen; white wing patches visible in flight. Females and juveniles are ashy-gray. Often in small groups; forages mainly on berries (especially mistletoe)."
