,query
0,Canada goose
1,Blue-winged teal
2,Cinnamon teal
3,Northern shoveler
4,Mallard
5,Northern cardinal
6,Pyrrhuloxia
7,Phainopepla
8,Cactus Wren
9,Rock Wren
10,House Wren
11,Bewicks Wren
12,Northern Mockingbird
13,Curve-billed thrasher
14,European starling
15,Black-tailed gnatcatcher
16,Verdin
17,Cassins Vireo
18,Bells Vireo
19,Ruby-crowned kinglet
20,Says Phoebe
21,White-winged dove
22,Black Phoebe
23,Olive-sided flycatcher
24,Gray Flycatcher
25,Cassins kingbird
26,Western kingbird
27,Great tailed grackle
28,Gila woodpecker
29,Gilded flicker
30,Northern flicker
31,Eurasian collared-dove
32,Rock Pigeon
33,Mourning dove
34,Greater roadrunner
35,Lesser nighthawk
36,Annas hummingbird
37,Black-chinned hummingbird
38,Belted Kingfisher
39,Black-necked stilt
40,American avocet
41,Killdeer
42,Lesser yellowlegs
43,Neotropic Cormorant
44,American white pelican
45,Least bittern
46,Great blue heron
47,Great egret
48,Snowy egret
49,Cattle egret
50,Green heron
51,Black-crowned night-heron
52,Black vulture
53,Turkey vulture
54,Osprey
55,Northern harrier
56,Sharp-shinned hawk
57,Coopers hawk
58,Bald eagle
59,Swainsons hawk
60,Red-tailed hawk
61,Great horned owl
62,Western screech-owl
63,Burrowing owl
64,Peregrine falcon
65,American kestrel
66,Prairie falcon
67,Gambels quail
68,House Finch
69,House Sparrow
70,Black-Throated Sparrow
71,White-crowned Sparrow
72,Loggerhead Shrike
73,American Crow
74,Common Raven
75,Rosy-faced lovebird
76,Common Raven
77,Western Meadowlark
78,Marsh Wren
79,Crissal Thrasher
80,Lazuli Bunting
81,Roseate Spoonbill
82,Bullocks Oriole
83,Wilsons Warbler
84,Townsends Warbler
85,Warbling Vireo
86,Blue Grosbeak
87,Summer Tanager
88,American WigeonTree Swallow
89,Brown-crested Flycatcher
90,Western Wood-Pewee
91,Western Tanager
92,Yellow Warbler
93,Lark Sparrow
94,Song Sparrow
95,Aberts Towhee
96,Green-tailed Towhee
97,Bronzed Cowbird
98,Brown-headed Cowbird
99,Yellow-headed Blackbird
100,Lesser Goldfinch
101,Yellow-rumped Warbler
102,Inca Dove
103,Ladder Backed Woodpecker
104,Cliff Swallow
105,White-faced Ibis
106,American Coot
107,Common Gallinule
108,Pied-billed Grebe
109,Lesser Scaup
110,Ring-necked Duck
